id,name,level,exp,maxHP,maxMP,accuracy,evasion,speed,boss,summonType,paDamage,maDamage,pdr,mdr,push,hpRecovery,mpRecovery,publicReward,_url,_meta_raw
100133,Murumuru,7,15,70,0,40,0,-30,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/100133,"{""isBodyAttack"": true, ""level"": 7, ""maxHP"": 70, ""maxMP"": 0, ""speed"": -30, ""physicalDamage"": 36, ""physicalDefense"": 5, ""magicDamage"": 0, ""magicDefense"": 20, ""accuracy"": 40, ""evasion"": 0, ""exp"": 15, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
100134,Murukun,9,18,95,0,42,1,-30,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/100134,"{""isBodyAttack"": true, ""level"": 9, ""maxHP"": 95, ""maxMP"": 0, ""speed"": -30, ""physicalDamage"": 48, ""physicalDefense"": 10, ""magicDamage"": 0, ""magicDefense"": 15, ""accuracy"": 42, ""evasion"": 1, ""exp"": 18, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
120100,Shroom,2,5,20,15,30,0,-30,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/120100,"{""isBodyAttack"": true, ""level"": 2, ""maxHP"": 20, ""maxMP"": 15, ""speed"": -30, ""physicalDamage"": 17, ""physicalDefense"": 0, ""magicDamage"": 0, ""magicDefense"": 0, ""accuracy"": 30, ""evasion"": 0, ""exp"": 5, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
130100,Stump,4,8,40,30,30,0,-70,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/130100,"{""isBodyAttack"": true, ""level"": 4, ""maxHP"": 40, ""maxMP"": 30, ""speed"": -70, ""physicalDamage"": 30, ""physicalDefense"": 0, ""magicDamage"": 0, ""magicDefense"": 10, ""accuracy"": 30, ""evasion"": 0, ""exp"": 8, ""isUndead"": false, ""minimumPushDamage"": 1, ""elementalAttributes"": ""F3"", ""summonType"": 1, ""revivesMonsterId"": []}"
130101,Red Snail,4,8,40,30,35,0,-50,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/130101,"{""isBodyAttack"": true, ""level"": 4, ""maxHP"": 40, ""maxMP"": 30, ""speed"": -50, ""physicalDamage"": 27, ""physicalDefense"": 3, ""magicDamage"": 0, ""magicDefense"": 10, ""accuracy"": 35, ""evasion"": 0, ""exp"": 8, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
210100,Slime,6,10,50,35,35,1,-20,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/210100,"{""isBodyAttack"": true, ""level"": 6, ""maxHP"": 50, ""maxMP"": 35, ""speed"": -20, ""physicalDamage"": 32, ""physicalDefense"": 5, ""magicDamage"": 0, ""magicDefense"": 10, ""accuracy"": 35, ""evasion"": 1, ""exp"": 10, ""isUndead"": false, ""minimumPushDamage"": 1, ""elementalAttributes"": ""L3"", ""summonType"": 1, ""revivesMonsterId"": []}"
1110100,Green Mushroom,15,26,250,25,45,5,-20,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/1110100,"{""isBodyAttack"": true, ""level"": 15, ""maxHP"": 250, ""maxMP"": 25, ""speed"": -20, ""physicalDamage"": 82, ""physicalDefense"": 12, ""magicDamage"": 0, ""magicDefense"": 40, ""accuracy"": 45, ""evasion"": 5, ""exp"": 26, ""isUndead"": false, ""minimumPushDamage"": 1, ""elementalAttributes"": ""S1"", ""summonType"": 1, ""revivesMonsterId"": []}"
1110101,Dark Stump,10,18,250,10,42,0,-70,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/1110101,"{""isBodyAttack"": true, ""level"": 10, ""maxHP"": 250, ""maxMP"": 10, ""speed"": -70, ""physicalDamage"": 65, ""physicalDefense"": 20, ""magicDamage"": 0, ""magicDefense"": 10, ""accuracy"": 42, ""evasion"": 0, ""exp"": 18, ""isUndead"": false, ""minimumPushDamage"": 1, ""elementalAttributes"": ""F3"", ""summonType"": 1, ""revivesMonsterId"": []}"
1110130,Dejected Green Mushroom,15,26,250,25,45,5,-20,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/1110130,"{""isBodyAttack"": true, ""level"": 15, ""maxHP"": 250, ""maxMP"": 25, ""speed"": -20, ""physicalDamage"": 82, ""physicalDefense"": 12, ""magicDamage"": 0, ""magicDefense"": 40, ""accuracy"": 45, ""evasion"": 5, ""exp"": 26, ""isUndead"": false, ""minimumPushDamage"": 1, ""elementalAttributes"": ""S1"", ""summonType"": 1, ""revivesMonsterId"": []}"
1120100,Octopus,12,24,200,50,40,4,0,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/1120100,"{""isBodyAttack"": true, ""level"": 12, ""maxHP"": 200, ""maxMP"": 50, ""speed"": 0, ""physicalDamage"": 82, ""physicalDefense"": 10, ""magicDamage"": 0, ""magicDefense"": 40, ""accuracy"": 40, ""evasion"": 4, ""exp"": 24, ""isUndead"": false, ""minimumPushDamage"": 1, ""elementalAttributes"": ""L3"", ""summonType"": 1, ""revivesMonsterId"": []}"
1130100,Axe Stump,17,30,300,30,50,5,-50,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/1130100,"{""isBodyAttack"": true, ""level"": 17, ""maxHP"": 300, ""maxMP"": 30, ""speed"": -50, ""physicalDamage"": 85, ""physicalDefense"": 30, ""magicDamage"": 0, ""magicDefense"": 10, ""accuracy"": 50, ""evasion"": 5, ""exp"": 30, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
1140100,Ghost Stump,19,33,330,35,55,10,-45,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/1140100,"{""isBodyAttack"": true, ""level"": 19, ""maxHP"": 330, ""maxMP"": 35, ""speed"": -45, ""physicalDamage"": 90, ""physicalDefense"": 40, ""magicDamage"": 0, ""magicDefense"": 15, ""accuracy"": 55, ""evasion"": 10, ""exp"": 33, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
1140130,Smirking Ghost Stump,19,33,330,35,55,10,-45,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/1140130,"{""isBodyAttack"": true, ""level"": 19, ""maxHP"": 330, ""maxMP"": 35, ""speed"": -45, ""physicalDamage"": 90, ""physicalDefense"": 40, ""magicDamage"": 0, ""magicDefense"": 15, ""accuracy"": 55, ""evasion"": 10, ""exp"": 33, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
1210100,Pig,7,15,75,40,40,0,0,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/1210100,"{""isBodyAttack"": true, ""level"": 7, ""maxHP"": 75, ""maxMP"": 40, ""speed"": 0, ""physicalDamage"": 37, ""physicalDefense"": 5, ""magicDamage"": 0, ""magicDefense"": 20, ""accuracy"": 40, ""evasion"": 0, ""exp"": 15, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
1210101,Ribbon Pig,10,20,120,45,40,2,5,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/1210101,"{""isBodyAttack"": true, ""level"": 10, ""maxHP"": 120, ""maxMP"": 45, ""speed"": 5, ""physicalDamage"": 70, ""physicalDefense"": 10, ""magicDamage"": 0, ""magicDefense"": 30, ""accuracy"": 40, ""evasion"": 2, ""exp"": 20, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
1210102,Orange Mushroom,8,15,80,45,42,1,0,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/1210102,"{""isBodyAttack"": true, ""level"": 8, ""maxHP"": 80, ""maxMP"": 45, ""speed"": 0, ""physicalDamage"": 42, ""physicalDefense"": 0, ""magicDamage"": 0, ""magicDefense"": 10, ""accuracy"": 42, ""evasion"": 1, ""exp"": 15, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
1210103,Bubbling,15,26,240,10,80,5,10,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/1210103,"{""isBodyAttack"": true, ""level"": 15, ""maxHP"": 240, ""maxMP"": 10, ""speed"": 10, ""physicalDamage"": 80, ""physicalDefense"": 40, ""magicDamage"": 0, ""magicDefense"": 50, ""accuracy"": 80, ""evasion"": 5, ""exp"": 26, ""isUndead"": false, ""minimumPushDamage"": 30, ""summonType"": 1, ""revivesMonsterId"": []}"
2100100,Desert Rabbit (F),20,32,350,0,55,8,-40,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2100100,"{""isBodyAttack"": true, ""level"": 20, ""maxHP"": 350, ""maxMP"": 0, ""speed"": -40, ""physicalDamage"": 85, ""physicalDefense"": 20, ""magicDamage"": 0, ""magicDefense"": 20, ""accuracy"": 55, ""evasion"": 8, ""exp"": 32, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
2100101,Desert Rabbit (M),21,34,400,0,70,9,-40,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2100101,"{""isBodyAttack"": true, ""level"": 21, ""maxHP"": 400, ""maxMP"": 0, ""speed"": -40, ""physicalDamage"": 90, ""physicalDefense"": 25, ""magicDamage"": 0, ""magicDefense"": 30, ""accuracy"": 70, ""evasion"": 9, ""exp"": 34, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
2100102,Jr. Cactus,22,37,450,0,55,8,-40,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2100102,"{""isBodyAttack"": true, ""level"": 22, ""maxHP"": 450, ""maxMP"": 0, ""speed"": -40, ""physicalDamage"": 90, ""physicalDefense"": 30, ""magicDamage"": 0, ""magicDefense"": 30, ""accuracy"": 55, ""evasion"": 8, ""exp"": 37, ""isUndead"": false, ""minimumPushDamage"": 1, ""elementalAttributes"": ""F3"", ""summonType"": 1, ""revivesMonsterId"": []}"
2100103,Cactus,25,47,550,0,55,9,-50,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2100103,"{""isBodyAttack"": true, ""level"": 25, ""maxHP"": 550, ""maxMP"": 0, ""speed"": -50, ""physicalDamage"": 95, ""physicalDefense"": 35, ""magicDamage"": 0, ""magicDefense"": 40, ""accuracy"": 55, ""evasion"": 9, ""exp"": 47, ""isUndead"": false, ""minimumPushDamage"": 1, ""elementalAttributes"": ""F3"", ""summonType"": 1, ""revivesMonsterId"": []}"
2100104,Royal Cactus,28,55,750,0,60,10,-50,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2100104,"{""isBodyAttack"": true, ""level"": 28, ""maxHP"": 750, ""maxMP"": 0, ""speed"": -50, ""physicalDamage"": 105, ""physicalDefense"": 40, ""magicDamage"": 0, ""magicDefense"": 40, ""accuracy"": 60, ""evasion"": 10, ""exp"": 55, ""isUndead"": false, ""minimumPushDamage"": 1, ""elementalAttributes"": ""F3"", ""summonType"": 1, ""revivesMonsterId"": []}"
2100105,Bellamoa,23,42,500,0,55,9,-40,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2100105,"{""isBodyAttack"": true, ""level"": 23, ""maxHP"": 500, ""maxMP"": 0, ""speed"": -40, ""physicalDamage"": 90, ""physicalDefense"": 35, ""magicDamage"": 0, ""magicDefense"": 40, ""accuracy"": 55, ""evasion"": 9, ""exp"": 42, ""isUndead"": false, ""minimumPushDamage"": 250, ""elementalAttributes"": ""S2"", ""summonType"": 1, ""revivesMonsterId"": []}"
2100106,Ear Plug Plead,24,45,550,0,50,9,5,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2100106,"{""isBodyAttack"": true, ""level"": 24, ""maxHP"": 550, ""maxMP"": 0, ""speed"": 5, ""physicalDamage"": 95, ""physicalDefense"": 35, ""magicDamage"": 0, ""magicDefense"": 35, ""accuracy"": 50, ""evasion"": 9, ""exp"": 45, ""isUndead"": false, ""minimumPushDamage"": 0, ""elementalAttributes"": ""F2"", ""summonType"": 1, ""revivesMonsterId"": []}"
2100107,Scarf Plead,27,50,700,0,55,10,5,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2100107,"{""isBodyAttack"": true, ""level"": 27, ""maxHP"": 700, ""maxMP"": 0, ""speed"": 5, ""physicalDamage"": 100, ""physicalDefense"": 35, ""magicDamage"": 0, ""magicDefense"": 40, ""accuracy"": 55, ""evasion"": 10, ""exp"": 50, ""isUndead"": false, ""minimumPushDamage"": 0, ""elementalAttributes"": ""F2"", ""summonType"": 1, ""revivesMonsterId"": []}"
2100108,Meerkat,29,58,780,0,60,10,0,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2100108,"{""isBodyAttack"": true, ""level"": 29, ""maxHP"": 780, ""maxMP"": 0, ""speed"": 0, ""physicalDamage"": 100, ""physicalDefense"": 40, ""magicDamage"": 0, ""magicDefense"": 45, ""accuracy"": 60, ""evasion"": 10, ""exp"": 58, ""isUndead"": false, ""minimumPushDamage"": 0, ""summonType"": 1, ""revivesMonsterId"": []}"
2110200,Horny Mushroom,22,35,300,35,55,7,-20,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2110200,"{""isBodyAttack"": true, ""level"": 22, ""maxHP"": 300, ""maxMP"": 35, ""speed"": -20, ""physicalDamage"": 90, ""physicalDefense"": 30, ""magicDamage"": 0, ""magicDefense"": 0, ""accuracy"": 55, ""evasion"": 7, ""exp"": 35, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
2110300,Sand Rat,24,55,600,0,55,10,-15,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2110300,"{""isBodyAttack"": true, ""level"": 24, ""maxHP"": 600, ""maxMP"": 0, ""speed"": -15, ""physicalDamage"": 95, ""physicalDefense"": 35, ""magicDamage"": 0, ""magicDefense"": 40, ""accuracy"": 55, ""evasion"": 10, ""exp"": 55, ""isUndead"": false, ""minimumPushDamage"": 0, ""summonType"": 1, ""revivesMonsterId"": []}"
2110301,Scorpion,29,58,780,0,60,10,-15,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2110301,"{""isBodyAttack"": true, ""level"": 29, ""maxHP"": 780, ""maxMP"": 0, ""speed"": -15, ""physicalDamage"": 100, ""physicalDefense"": 40, ""magicDamage"": 0, ""magicDefense"": 45, ""accuracy"": 60, ""evasion"": 10, ""exp"": 58, ""isUndead"": false, ""minimumPushDamage"": 0, ""summonType"": 1, ""revivesMonsterId"": []}"
2130100,Dark Axe Stump,22,38,550,40,45,7,-50,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2130100,"{""isBodyAttack"": true, ""level"": 22, ""maxHP"": 550, ""maxMP"": 40, ""speed"": -50, ""physicalDamage"": 85, ""physicalDefense"": 50, ""magicDamage"": 0, ""magicDefense"": 20, ""accuracy"": 45, ""evasion"": 7, ""exp"": 38, ""isUndead"": false, ""minimumPushDamage"": 1, ""elementalAttributes"": ""F3"", ""summonType"": 1, ""revivesMonsterId"": []}"
2130103,Jr. Necki,21,38,285,20,120,25,10,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2130103,"{""isBodyAttack"": true, ""level"": 21, ""maxHP"": 285, ""maxMP"": 20, ""speed"": 10, ""physicalDamage"": 100, ""physicalDefense"": 30, ""magicDamage"": 0, ""magicDefense"": 30, ""accuracy"": 120, ""evasion"": 25, ""exp"": 38, ""isUndead"": false, ""minimumPushDamage"": 50, ""summonType"": 1, ""revivesMonsterId"": []}"
2220000,Mano ,20,120,2000,30,60,8,-40,,1,,,,,,10,1,,https://maplestory.io/api/GMS/83/mob/2220000,"{""isBodyAttack"": true, ""level"": 20, ""maxHP"": 2000, ""maxMP"": 30, ""speed"": -40, ""physicalDamage"": 90, ""physicalDefense"": 20, ""magicDamage"": 0, ""magicDefense"": 30, ""accuracy"": 60, ""evasion"": 8, ""exp"": 120, ""isUndead"": false, ""minimumPushDamage"": 1, ""hpRecovery"": 10, ""mpRecovery"": 1, ""summonType"": 1, ""hpTagColor"": 1, ""hpTagBackgroundColor"": 5, ""hpGaugeHide"": true, ""revivesMonsterId"": [], ""isBoss"": true, ""isAutoAggro"": true}"
2220100,Blue Mushroom,20,32,350,30,55,7,5,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2220100,"{""isBodyAttack"": true, ""level"": 20, ""maxHP"": 350, ""maxMP"": 30, ""speed"": 5, ""physicalDamage"": 90, ""physicalDefense"": 10, ""magicDamage"": 0, ""magicDefense"": 60, ""accuracy"": 55, ""evasion"": 7, ""exp"": 32, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
2230100,Evil Eye,27,50,720,40,60,10,-10,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2230100,"{""isBodyAttack"": true, ""level"": 27, ""maxHP"": 720, ""maxMP"": 40, ""speed"": -10, ""physicalDamage"": 100, ""physicalDefense"": 35, ""magicDamage"": 0, ""magicDefense"": 70, ""accuracy"": 60, ""evasion"": 10, ""exp"": 50, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
2230101,Zombie Mushroom,24,42,500,50,50,8,0,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2230101,"{""isBodyAttack"": true, ""level"": 24, ""maxHP"": 500, ""maxMP"": 50, ""speed"": 0, ""physicalDamage"": 95, ""physicalDefense"": 20, ""magicDamage"": 0, ""magicDefense"": 30, ""accuracy"": 50, ""evasion"": 8, ""exp"": 42, ""isUndead"": true, ""minimumPushDamage"": 1, ""elementalAttributes"": ""H3"", ""summonType"": 1, ""revivesMonsterId"": []}"
2230102,Wild Boar,25,42,550,55,50,8,0,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2230102,"{""isBodyAttack"": true, ""level"": 25, ""maxHP"": 550, ""maxMP"": 55, ""speed"": 0, ""physicalDamage"": 90, ""physicalDefense"": 20, ""magicDamage"": 0, ""magicDefense"": 30, ""accuracy"": 50, ""evasion"": 8, ""exp"": 42, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
2230103,Trixter,23,42,450,0,93,10,0,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2230103,"{""isBodyAttack"": true, ""level"": 23, ""maxHP"": 450, ""maxMP"": 0, ""speed"": 0, ""physicalDamage"": 95, ""physicalDefense"": 52, ""magicDamage"": 0, ""magicDefense"": 65, ""accuracy"": 93, ""evasion"": 10, ""exp"": 42, ""isUndead"": false, ""minimumPushDamage"": 0, ""elementalAttributes"": ""H2F3"", ""summonType"": 1, ""revivesMonsterId"": []}"
2230104,Green Trixter,28,55,780,0,115,12,0,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2230104,"{""isBodyAttack"": true, ""level"": 28, ""maxHP"": 780, ""maxMP"": 0, ""speed"": 0, ""physicalDamage"": 105, ""physicalDefense"": 75, ""magicDamage"": 0, ""magicDefense"": 75, ""accuracy"": 115, ""evasion"": 12, ""exp"": 55, ""isUndead"": false, ""minimumPushDamage"": 0, ""elementalAttributes"": ""S1"", ""summonType"": 1, ""revivesMonsterId"": []}"
2230105,Seacle,23,42,500,0,55,9,-30,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2230105,"{""isBodyAttack"": true, ""level"": 23, ""maxHP"": 500, ""maxMP"": 0, ""speed"": -30, ""physicalDamage"": 85, ""physicalDefense"": 35, ""magicDamage"": 0, ""magicDefense"": 45, ""accuracy"": 55, ""evasion"": 9, ""exp"": 42, ""isUndead"": false, ""minimumPushDamage"": 1, ""elementalAttributes"": ""S3F2"", ""summonType"": 1, ""revivesMonsterId"": []}"
2230106,Cico,25,42,550,0,50,8,-20,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2230106,"{""isBodyAttack"": true, ""level"": 25, ""maxHP"": 550, ""maxMP"": 0, ""speed"": -20, ""physicalDamage"": 95, ""physicalDefense"": 30, ""magicDamage"": 0, ""magicDefense"": 40, ""accuracy"": 50, ""evasion"": 8, ""exp"": 42, ""isUndead"": false, ""minimumPushDamage"": 1, ""elementalAttributes"": ""S3F2"", ""summonType"": 1, ""revivesMonsterId"": []}"
2230107,Krappy,24,45,500,50,50,8,,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2230107,"{""isBodyAttack"": true, ""level"": 24, ""maxHP"": 500, ""maxMP"": 50, ""flySpeed"": -15, ""physicalDamage"": 95, ""physicalDefense"": 20, ""magicDamage"": 0, ""magicDefense"": 30, ""accuracy"": 50, ""evasion"": 8, ""exp"": 45, ""isUndead"": false, ""minimumPushDamage"": 0, ""elementalAttributes"": ""S3F2"", ""summonType"": 1, ""revivesMonsterId"": []}"
2230108,Pinboom,22,36,400,0,55,7,0,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2230108,"{""isBodyAttack"": true, ""level"": 22, ""maxHP"": 400, ""maxMP"": 0, ""speed"": 0, ""physicalDamage"": 100, ""physicalDefense"": 30, ""magicDamage"": 0, ""magicDefense"": 30, ""accuracy"": 55, ""evasion"": 7, ""exp"": 36, ""isUndead"": false, ""minimumPushDamage"": 0, ""elementalAttributes"": ""F2"", ""summonType"": 1, ""revivesMonsterId"": [], ""isAutoAggro"": true}"
2230109,Bubble Fish,28,52,740,40,55,10,,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2230109,"{""isBodyAttack"": true, ""level"": 28, ""maxHP"": 740, ""maxMP"": 40, ""flySpeed"": -30, ""physicalDamage"": 100, ""physicalDefense"": 35, ""magicDamage"": 0, ""magicDefense"": 40, ""accuracy"": 55, ""evasion"": 10, ""exp"": 52, ""isUndead"": false, ""minimumPushDamage"": 0, ""elementalAttributes"": ""L3S3F2"", ""summonType"": 1, ""revivesMonsterId"": []}"
2230110,Wooden Mask,23,42,500,0,55,10,-30,,1,,,,,,,,,https://maplestory.io/api/GMS/83/mob/2230110,"{""isBodyAttack"": true, ""level"": 23, ""maxHP"": 500, ""maxMP"": 0, ""speed"": -30, ""physicalDamage"": 85, ""physicalDefense"": 30, ""magicDamage"": 0, ""magicDefense"": 40, ""accuracy"": 55, ""evasion"": 10, ""exp"": 42, ""isUndead"": false, ""minimumPushDamage"": 1, ""summonType"": 1, ""revivesMonsterId"": []}"
